Date,Open,High,Low,Close,Adj Close,Volume
2021-08-25,36.259998,37.130001,34.130001,37.009998,37.009998,1933600
2021-08-26,36.799999,36.845001,35.200001,36.279999,36.279999,1760100
2021-08-27,36.930000,39.720001,35.924999,39.450001,39.450001,3693800
2021-08-30,39.689999,42.180000,39.520000,41.849998,41.849998,2105900
2021-08-31,41.430000,41.930000,40.061001,41.009998,41.009998,1418400
2021-09-01,41.209999,44.330002,41.099998,44.330002,44.330002,1497500
2021-09-02,44.540001,48.630001,43.740002,45.360001,45.360001,2362000
2021-09-03,45.130001,46.150002,43.299999,44.500000,44.500000,1171600
2021-09-07,44.500000,46.709999,43.900002,45.180000,45.180000,1055000
2021-09-08,45.090000,45.389999,41.009998,42.180000,42.180000,1719400
2021-09-09,42.220001,43.634998,41.840000,42.360001,42.360001,1440600
2021-09-10,42.419998,44.310001,40.230000,43.630001,43.630001,2322800
2021-09-13,44.099998,45.200001,42.660000,43.820000,43.820000,1389600
2021-09-14,41.400002,44.459999,40.330002,40.500000,40.500000,2005900
2021-09-15,41.299999,41.389999,39.009998,40.660000,40.660000,2366900
2021-09-16,41.869999,43.080002,40.750000,42.419998,42.419998,6410200
2021-09-17,43.049999,43.169998,40.750000,41.209999,41.209999,4492200
2021-09-20,39.290001,40.869999,38.150002,38.740002,38.740002,2435700
2021-09-21,38.889999,39.110001,36.639999,37.689999,37.689999,2719400
2021-09-22,37.910000,38.930000,37.220001,37.750000,37.750000,1422900
2021-09-23,37.869999,39.830002,37.485001,39.320000,39.320000,1148800
2021-09-24,38.340000,39.639999,38.200001,38.330002,38.330002,1655300
2021-09-27,38.169998,39.299999,37.250000,39.020000,39.020000,1446700
2021-09-28,38.599998,39.759998,38.139999,38.730000,38.730000,1697500
2021-09-29,38.700001,39.980000,38.459999,38.919998,38.919998,1352600
2021-09-30,39.189999,39.738998,35.099998,37.139999,37.139999,2404100
2021-10-01,37.169998,37.990002,35.860001,37.910000,37.910000,1592600
2021-10-04,37.180000,37.421001,35.770000,36.180000,36.180000,1072100
2021-10-05,36.369999,38.060001,36.150002,37.360001,37.360001,1162600
2021-10-06,37.130001,37.865002,36.860001,37.500000,37.500000,799900
